"County","apps","d_apps","r_apps","d_app_rejections","r_app_rejections","d_ballot_returned","d_percent_returned","r_percent_returned","fips"
"PULASKI",874,5,865,0,0,3,0.6,0.907514450867052,"13235"
"WILKES",872,463,388,0,2,0,0,0.305699481865285,"13317"
"BRANTLEY",845,136,698,0,0,74,0.544117647058823,0.530085959885387,"13025"
"BERRIEN",830,175,637,0,3,0,0,0,"13019"
"BEN HILL",775,332,426,5,2,0,0,0,"13017"
"HEARD",747,147,551,0,4,21,0.142857142857143,0.175502742230347,"13149"
"SCREVEN",740,304,408,1,1,0,0,0,"13251"
"DODGE",714,157,547,5,1,0,0,0,"13091"
"MARION",697,189,487,0,2,0,0,0.804123711340206,"13197"
"TWIGGS",678,460,211,2,0,158,0.344978165938865,0,"13289"
"BLECKLEY",640,134,454,1,3,0,0,0,"13023"
"TERRELL",639,367,262,0,0,0,0,0,"13273"
"CRAWFORD",627,214,393,2,0,0,0,0,"13079"
"EARLY",587,256,326,1,1,0,0,0,"13099"
"JEFF DAVIS",572,100,451,0,3,0,0,0,"13161"
"GLASCOCK",567,31,209,0,0,12,0.387096774193548,0.669856459330144,"13125"
"BACON",564,87,464,0,0,39,0.448275862068966,0,"13005"
"TALBOT",559,400,143,0,0,124,0.31,0.00699300699300699,"13263"
"TELFAIR",557,322,212,2,0,0,0,0,"13271"
"JENKINS",511,346,155,1,0,0,0,0,"13165"
"DOOLY",497,274,210,2,0,0,0,0,"13093"
"IRWIN",479,127,337,2,1,0,0,0,"13155"
"JOHNSON",449,146,294,0,1,0,0,0,"13167"
"CHARLTON",448,135,312,0,0,81,0.6,0.573717948717949,"13049"
"BAKER",431,405,26,0,0,334,0.824691358024691,0.0769230769230769,"13007"
"MONROE",424,145,268,4,6,0,0,0,"13207"
"RANDOLPH",409,264,138,0,0,0,0,0,"13243"
"MONTGOMERY",393,103,279,0,0,0,0,0,"13209"
"BURKE",392,217,173,0,2,0,0,0,"13033"
"LANIER",390,109,273,4,3,0,0,0,"13173"
"WILCOX",388,97,287,0,0,0,0,0,"13315"
"CALHOUN",386,319,66,2,0,218,0.687697160883281,0,"13037"
